,Código,Estado,UF,Data,CA,CN,OA,ON,Data mmmovel,CA mmovel,OA mmovel,ON mmovel,CN mmovel,Dia x,CAx,OAx,ONx,CNx,CA mmmovelx,OA mmmovelx,ON mmmovelx,CN mmmovelx
682,15,Pará,PA,2020-07-17,136947.0,1783.0,5478.0,30.0,2020-07-17,130968.14285714286,5364.0,29.142857142857142,1716.142857142857,103.0,136947.0,5478.0,30.0,1783.0,130968.14285714286,5364.0,29.142857142857142,1716.142857142857
683,15,Pará,PA,2020-07-18,137484.0,537.0,5523.0,45.0,2020-07-18,132649.57142857142,5397.428571428572,33.42857142857143,1681.4285714285713,104.0,137484.0,5523.0,45.0,537.0,132649.57142857142,5397.428571428572,33.42857142857143,1681.4285714285713
684,15,Pará,PA,2020-07-19,138396.0,912.0,5538.0,15.0,2020-07-19,134347.7142857143,5432.428571428572,35.0,1698.142857142857,105.0,138396.0,5538.0,15.0,912.0,134347.7142857143,5432.428571428572,35.0,1698.142857142857
685,15,Pará,PA,2020-07-20,140388.0,1992.0,5553.0,15.0,2020-07-20,136036.0,5466.0,33.57142857142857,1688.2857142857142,106.0,140388.0,5553.0,15.0,1992.0,136036.0,5466.0,33.57142857142857,1688.2857142857142
686,15,Pará,PA,2020-07-21,142358.0,1970.0,5581.0,28.0,2020-07-21,137682.2857142857,5500.857142857143,34.857142857142854,1646.2857142857142,107.0,142358.0,5581.0,28.0,1970.0,137682.2857142857,5500.857142857143,34.857142857142854,1646.2857142857142
687,15,Pará,PA,2020-07-22,144467.0,2109.0,5616.0,35.0,2020-07-22,139314.85714285713,5533.857142857143,33.0,1632.5714285714287,108.0,144467.0,5616.0,35.0,2109.0,139314.85714285713,5533.857142857143,33.0,1632.5714285714287
688,15,Pará,PA,2020-07-23,146252.0,1785.0,5646.0,30.0,2020-07-23,140898.85714285713,5562.142857142857,28.285714285714285,1584.0,109.0,146252.0,5646.0,30.0,1785.0,140898.85714285713,5562.142857142857,28.285714285714285,1584.0
689,15,Pará,PA,2020-07-24,147923.0,1671.0,5689.0,43.0,2020-07-24,142466.85714285713,5592.285714285715,30.142857142857142,1568.0,110.0,147923.0,5689.0,43.0,1671.0,142466.85714285713,5592.285714285715,30.142857142857142,1568.0
690,15,Pará,PA,2020-07-25,148463.0,540.0,5716.0,27.0,2020-07-25,144035.2857142857,5619.857142857143,27.571428571428573,1568.4285714285713,111.0,148463.0,5716.0,27.0,540.0,144035.2857142857,5619.857142857143,27.571428571428573,1568.4285714285713
691,15,Pará,PA,2020-07-26,148823.0,360.0,5729.0,13.0,2020-07-26,145524.85714285713,5647.142857142857,27.285714285714285,1489.5714285714287,112.0,148823.0,5729.0,13.0,360.0,145524.85714285713,5647.142857142857,27.285714285714285,1489.5714285714287
692,15,Pará,PA,2020-07-27,150616.0,1793.0,5753.0,24.0,2020-07-27,146986.0,5675.714285714285,28.571428571428573,1461.142857142857,113.0,150616.0,5753.0,24.0,1793.0,146986.0,5675.714285714285,28.571428571428573,1461.142857142857
693,15,Pará,PA,2020-07-28,151849.0,1233.0,5694.0,-59.0,2020-07-28,148341.85714285713,5691.857142857143,16.142857142857142,1355.857142857143,114.0,151849.0,5694.0,-59.0,1233.0,148341.85714285713,5691.857142857143,16.142857142857142,1355.857142857143
694,15,Pará,PA,2020-07-29,153350.0,1501.0,5699.0,5.0,2020-07-29,149610.85714285713,5703.714285714285,11.857142857142858,1269.0,115.0,153350.0,5699.0,5.0,1501.0,149610.85714285713,5703.714285714285,11.857142857142858,1269.0
695,15,Pará,PA,2020-07-30,154685.0,1335.0,5728.0,29.0,2020-07-30,150815.57142857142,5715.428571428572,11.714285714285714,1204.7142857142858,116.0,154685.0,5728.0,29.0,1335.0,150815.57142857142,5715.428571428572,11.714285714285714,1204.7142857142858
696,15,Pará,PA,2020-07-31,156053.0,1368.0,5750.0,22.0,2020-07-31,151977.0,5724.142857142857,8.714285714285714,1161.4285714285713,117.0,156053.0,5750.0,22.0,1368.0,151977.0,5724.142857142857,8.714285714285714,1161.4285714285713
697,15,Pará,PA,2020-08-01,156285.0,232.0,5773.0,23.0,2020-08-01,153094.42857142858,5732.285714285715,8.142857142857142,1117.4285714285713,118.0,156285.0,5773.0,23.0,232.0,153094.42857142858,5732.285714285715,8.142857142857142,1117.4285714285713
698,15,Pará,PA,2020-08-02,156505.0,220.0,5784.0,11.0,2020-08-02,154191.85714285713,5740.142857142857,7.857142857142857,1097.4285714285713,119.0,156505.0,5784.0,11.0,220.0,154191.85714285713,5740.142857142857,7.857142857142857,1097.4285714285713
699,15,Pará,PA,2020-08-03,158277.0,1772.0,5799.0,15.0,2020-08-03,155286.2857142857,5746.714285714285,6.571428571428571,1094.4285714285713,120.0,158277.0,5799.0,15.0,1772.0,155286.2857142857,5746.714285714285,6.571428571428571,1094.4285714285713
700,15,Pará,PA,2020-08-04,160695.0,2418.0,5818.0,19.0,2020-08-04,156550.0,5764.428571428572,17.714285714285715,1263.7142857142858,121.0,160695.0,5818.0,19.0,2418.0,156550.0,5764.428571428572,17.714285714285715,1263.7142857142858
701,16,Amapá,AP,2020-03-20,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
702,16,Amapá,AP,2020-03-21,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
703,16,Amapá,AP,2020-03-22,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
704,16,Amapá,AP,2020-03-23,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
705,16,Amapá,AP,2020-03-24,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
706,16,Amapá,AP,2020-03-25,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,
707,16,Amapá,AP,2020-03-26,2.0,0.0,0.0,0.0,2020-03-26,1.2857142857142858,0.0,0.0,0.2857142857142857,,,,,,,,,
708,16,Amapá,AP,2020-03-27,3.0,1.0,0.0,0.0,2020-03-27,1.5714285714285714,0.0,0.0,0.2857142857142857,,,,,,,,,
709,16,Amapá,AP,2020-03-28,4.0,1.0,0.0,0.0,2020-03-28,2.0,0.0,0.0,0.42857142857142855,,,,,,,,,
710,16,Amapá,AP,2020-03-29,8.0,4.0,0.0,0.0,2020-03-29,3.0,0.0,0.0,1.0,,,,,,,,,
711,16,Amapá,AP,2020-03-30,8.0,0.0,0.0,0.0,2020-03-30,4.0,0.0,0.0,1.0,,,,,,,,,
712,16,Amapá,AP,2020-03-31,10.0,2.0,0.0,0.0,2020-03-31,5.285714285714286,0.0,0.0,1.2857142857142858,,,,,,,,,
713,16,Amapá,AP,2020-04-01,11.0,1.0,0.0,0.0,2020-04-01,6.571428571428571,0.0,0.0,1.2857142857142858,,,,,,,,,
714,16,Amapá,AP,2020-04-02,12.0,1.0,0.0,0.0,2020-04-02,8.0,0.0,0.0,1.4285714285714286,,,,,,,,,
715,16,Amapá,AP,2020-04-03,19.0,7.0,0.0,0.0,2020-04-03,10.285714285714286,0.0,0.0,2.2857142857142856,,,,,,,,,
716,16,Amapá,AP,2020-04-04,29.0,10.0,1.0,1.0,2020-04-04,13.857142857142858,0.14285714285714285,0.14285714285714285,3.5714285714285716,,,,,,,,,
717,16,Amapá,AP,2020-04-05,32.0,3.0,1.0,0.0,2020-04-05,17.285714285714285,0.2857142857142857,0.14285714285714285,3.4285714285714284,,,,,,,,,
